date,coho_N_fish,coho_N_adult,coho_N_juvenile,coho_N_adult_dead,coho_N_adult_live,coho_biomass,coho_biomass_adult,coho_biomass_juvenile,coho_biomass_adult_dead,coho_biomass_adult_live,coho_count_hour,trout_N_fish,trout_N_adult,trout_N_juvenile,trout_N_adult_dead,trout_N_adult_live,trout_biomass,trout_biomass_adult,trout_biomass_juvenile,trout_biomass_adult_dead,trout_biomass_adult_live,trout_count_hour,fish_online,fish_count,a_online,a_perf,a_count,a_start,a_end,a_notes,j_online,j_perf,j_count,j_start,j_end,j_notes
1/20/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,6.7,6.7,0,0,6.7,10,1,1,1,1,1,9:00,10:06,2 Female steelhead,0,,,,,
1/21/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3.15,3.15,0,0,3.15,9,1,1,1,1,1,9:17,9:40,"Daniela, Hannah, Brandon",0,,,,,
1/22/20,2,2,0,0,2,1.74,1.74,0,0,1.74,11,14,14,0,0,14,48.63,48.63,0,0,48.63,12,1,1,1,1,1,9:40,13:10,Rained last night. Sixteen (16) fish in the box,0,,,,,
1/23/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3.6,3.6,0,0,3.6,10,1,1,1,1,1,9:10,10:00,1 fish. Mouth reopened (sandbar cut down). With Hannah S & Danniela R.,0,,,,,
1/24/20,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,14.6,14.6,0,0,14.6,10,1,1,1,1,1,9:00,10:00,4 SH. Tidally influenced. Lots of swell over sandbar into and out of estuary.,0,,,,,
1/25/20,1,1,0,0,1,0.83,0.83,0,0,0.83,10,3,3,0,0,3,11.34,11.34,0,0,11.34,10,1,1,1,1,1,9:30,10:30,"For fish (3 Onmy, 1 jack Onki)",0,,,,,
1/26/20,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,10.17,10.17,0,0,10.17,10,1,1,1,1,1,9:30,10:25,,0,,,,,
1/27/20,1,1,0,0,1,1.6,1.6,0,0,1.6,9,1,1,0,0,1,4.3,4.3,0,0,4.3,10,1,1,1,1,1,9:10,9:56,"2 fish (CO FE, SH FE both recaps). Estuary is full but is open to the north downcut through sanbar.",0,,,,,
1/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:09,"Hannah, Daniela",0,,,,,
1/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:08,No fish. Mouth still to the north (cut through sandbar) with some backwater on the south beach.,0,,,,,
1/30/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3.73,3.73,0,0,3.73,9.5,1,1,1,1,1,9:00,9:48,2 male sthd,0,,,,,
1/31/20,1,1,0,1,0,1.51,1.51,0,1.51,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8:50,9:15,with Brandon Sanchez. One MOR on pannels (FLOY P/R 3525) no fish in trap.,0,,,,,
2/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:35,"Low tide, mouth open but outlet adjacent to HWY 1 getting choked with sand. No fish.",0,,,,,
2/2/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,5.89,5.89,0,0,5.89,10,1,1,1,1,1,9:40,10:15,Two steelhead,0,,,,,
2/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:15,"AH, CG, CH",0,,,,,
2/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:10,"DR, HS; mended smolt trap panals",0,,,,,
2/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:05,9:10,No fish. Cold! Mouth clearly open to the north.,0,,,,,
2/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:02,9:06,No Fish. With DR and HS. Mouth clearly to the north.,0,,,,,
2/7/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3.78,3.78,0,0,3.78,9,1,1,1,1,1,,,,0,,,,,
2/8/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3.3,3.3,0,0,3.3,10,1,1,1,1,1,9:30,10:04,"Hannah, one female steelhead, ripe",0,,,,,
2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:20,9:30,no fish in trap.,0,,,,,
2/10/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7.67,7.67,0,0,7.67,9.5,1,1,1,1,1,9:14,9:45,2 fish in trap - m and f sh,0,,,,,
2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8:48,8:55,No fish.,0,,,,,
2/12/20,1,1,0,0,1,0.4,0.4,0,0,0.4,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,,0,,,,,
2/13/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,5.9,5.9,0,0,5.9,9,1,1,1,1,1,9:00,9:30,"Brandon, Daniela, Hannah, two female steelhead",0,,,,,
2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,10:40,Set up v-weir upstream to trap adults coming downstream. Tarps across bottom of all 7 panels on weir. No fish.,0,,,,,
2/15/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.74,0.74,0,0,0.74,10,1,1,1,1,1,9:00,9:59,hannah tagged,0,,,,,
2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:40,9:48,no fish,0,,,,,
2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:15,9:25,Mouth nearly closed. Found lathargic (but alive) HOR coho salmon just upstream of weir - captured and placed in weir box. Will likely be dead in the morning. Also one large steelhead observed just ds of the weir,0,,,,,
2/18/20,1,1,0,1,0,0.77,0.77,0,0.77,0,9,1,1,0,0,1,3.3,3.3,0,0,3.3,9,1,1,1,1,1,8:55,9:30,One Onmy + one Onki carcass placed in box yesterday,0,,,,,
2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:05,with Charles and Carlos. No fish. New redd directly upstream of weir on left bank (looking downstream).,0,,,,,
2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8:55,9:05,withHannah and Daniela. No fish.,0,,,,,
2/21/20,2,2,0,2,0,2.836,2.83608,0,2.836,0,11,1,1,0,0,1,4.4,4.4,0,0,4.4,9,1,1,1,1,1,9:00,9:35,,0,,,,,
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:40,Hannah,0,,,,,
2/23/20,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,8.65,8.65,0,0,8.65,10,1,1,1,1,1,9:15,10:20,with CalPoly class. 3 fish!,0,,,,,
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:10,9:16,,0,,,,,
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:54,"Starighten T-stakes, DR, and HS",0,,,,,
2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:05,9:12,,0,,,,,
2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:10,11:00,No fish. Put in outmigrant trap panels. The plan is to start smolt trapping early next week.,0,,,,,
2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,,0,,,,,
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:40,9:42,No fish,0,,,,,
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:15,10:34,Installed Trap 2,0,,,,,
3/2/20,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.016,0,0.0162,0,0,10,1,1,1,1,1,9:10,9:15,No adults. Start of the outmigrant trap. With CH and CS,1,1,1,9:28,9:50,Start of 2020 smolt trapping season
3/3/20,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,1,2.689,2.55,0.13875,0,2.55,10,1,1,1,1,1,9:00,9:30,1 female sh in weir. Sent upstream,1,1,1,9:30,10:40,
3/4/20,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.072,0,0.0720435,0,0,9,1,1,1,1,1,9:00,9:08,No fish. Mouth very narrow and moving south.,1,1,1,9:10,9:16,
3/5/20,12,0,12,0,0,0.275,0,0.2746,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:05,No fish. With HS and DS.,1,1,1,13:00,13:50,
3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:05,9:10,No adult in trap.,1,1,1,9:11,9:20,
3/7/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3.37,3.37,0,0,3.37,10,1,1,1,1,1,9:56,10:04,Hannah S.; one female steelhead.,1,1,1,9:56,10:22,
3/8/20,1,1,0,0,1,2.3,2.3,0,0,2.3,9,9,0,9,0,0,0.549,0,0.5486,0,0,11,1,1,1,1,1,10:25,10:30,no fish,1,1,1,10:30,10:55,
3/9/20,1,1,0,1,0,2.3,2.3,0,2.3,0,9,4,2,2,0,2,5.514,5.42,0.0945,0,5.42,9,1,1,1,1,1,9:00,9:40,2 adult female steelhead.,1,1,1,9:40,10:40,
3/10/20,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0.994,0,0.9944,0,0,10,1,1,1,1,1,8:00,8:10,No adults. With HS and DR.,1,1,1,8:12,9:00,
3/11/20,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,5,16.288,16.12,0.1679535,0,16.12,10,1,1,1,1,1,9:40,10:20,,1,1,1,10:30,11:30,
3/12/20,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,3,8.541,8.36,0.1811,0,8.36,11,1,1,1,1,1,9:00,9:40,"Other: HS, DR, BS; 3 adult SH",1,1,1,9:45,11:15,
3/13/20,0,0,0,0,0,0,0,0,0,0,0,29,2,27,0,2,5.895,4.35,1.5447375,0,4.35,11,1,1,1,1,1,9:45,10:30,,1,1,1,10:30,11:45,
3/14/20,0,0,0,0,0,0,0,0,0,0,0,29,3,26,0,3,7.598,6.15,1.448078,0,6.15,11,1,1,1,1,1,9:15,10:00,"3 sh; 2 females, 1 male",1,1,1,10:01,11:15,
3/15/20,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,35,103.87,103.87,0,0,103.87,12,1,1,1,1,1,10:00,14:47,Rain last night. 34 fish today in box,0,,,,,
3/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:00,No Fish in box. Put tarps back on panels,1,1,1,10:30,11:05,
3/17/20,11,0,11,0,0,0.195,0,0.1952,0,0,11,31,0,31,0,0,0.41,0,0.409731,0,0,11,1,1,1,1,1,9:30,9:40,NO FISH IN TRAP,1,1,1,9:40,11:37,
3/18/20,17,1,16,0,1,1.162,0.76,0.402083,0,0.76,11,35,0,35,0,0,0.699,0,0.6986745,0,0,12,1,1,1,1,1,9:30,9:40,1 Captive BR Coho (from estuary release).,1,1,1,10:40,,
3/19/20,8,0,8,0,0,0.209,0,0.2094,0,0,11,19,3,16,0,3,10.059,9.78,0.2793,0,9.78,11,1,1,1,1,1,10:00,10:05,,1,1,1,10:06,11:00,
3/20/20,8,0,8,0,0,0.144,0,0.1436,0,0,11,40,1,39,0,1,1.274,0.5,0.7738,0,0.5,11,1,1,1,1,1,9:45,10:00,Brought out new scale for adults.,1,1,1,10:00,11:46,
3/21/20,6,0,6,0,0,0.144,0,0.1442,0,0,11,52,0,52,0,0,1.667,0,1.6666825,0,0,11,1,1,1,1,1,9:40,9:45,no fish in trap,1,1,1,10:10,11:03,
3/22/20,6,0,6,0,0,0.128,0,0.127739497,0,0,10,37,1,36,0,1,3.991,2.71,1.281387,0,2.71,11,1,1,1,1,1,9:30,9:45,1 FEMALE SH,1,1,1,10:00,11:03,
3/23/20,5,0,5,0,0,0.079,0,0.079,0,0,11,19,1,18,0,1,3.774,3.34,0.434057639,0,3.34,11,1,1,1,1,1,9:50,10:00,1 SH male,1,1,1,10:00,11:10,
3/24/20,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0.926,0,0.9265,0,0,11,1,1,1,1,1,10:00,10:05,,1,1,1,10:06,11:27,
3/25/20,21,0,21,0,0,0.423,0,0.42325,0,0,12,109,0,109,0,0,5.051,0,5.0513815,0,0,12,1,1,1,1,1,9:45,9:50,NO FISH,1,1,1,10:15,13:16,
3/26/20,13,0,13,0,0,0.272,0,0.271511,0,0,10,74,11,63,0,11,31.85,29.58,2.269563,0,29.58,11,1,1,1,1,1,9:30,9:40,,1,1,1,10:45,11:32,2020 Trapping suspended for season due to COVID-19 restrictions
3/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:35,MBARI Kelt satellite tagging,0,,,,,
3/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:50,10:15,"No Fish in the box, but saw two fish swimming directly ds of weir with no floy tags",0,,,,,
3/29/20,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
3/30/20,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,9.23,9.23,0,0,9.23,9.5,1,1,1,1,1,10:35,10:37,,0,,,,,
3/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:00,10:10,No adults.,0,,,,,
4/1/20,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,10.49,10.49,0,0,10.49,9,1,1,1,1,1,9:50,10:44,"2 fish in trap box, and caught 2 kelts",0,,,,,
4/2/20,1,1,0,1,0,0.51,0.51,0,0.51,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:15,10:30,HOR coho carcass on weir panels,0,,,,,
4/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:50,9:55,No adults. Cleaned around trap to let smolts out.,0,,,,,
4/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:40,9:45,no fish in trap.,0,,,,,
4/5/20,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,12,32.16,32.16,0,0,32.16,10,1,1,1,1,1,10:00,13:00,Also captured 3 kelts on weir pannels. Worked up all 3 and released downstream.,0,,,,,
4/6/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.87,1.87,0,0,1.87,9,1,1,1,1,1,10:15,10:45,"Cleared lots of debris from panels. Caught one fish on panels, processed and released downstream. Trap 2 partially blown out & much deeper where cone was.",0,,,,,
4/7/20,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,12.21,12.21,0,0,12.21,10,1,1,1,1,1,10:00,11:30,"6 male SH, cleaned panels",0,,,,,
4/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:15,no fish. 2 kelts spotted charging panels,0,,,,,
4/9/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2.7,2.7,0,0,2.7,9,1,1,1,1,1,9:55,10:13,1 SH male.,0,,,,,
4/10/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3.88,3.88,0,0,3.88,9,1,1,1,1,1,9:55,10:37,2 female sthd.,0,,,,,
4/11/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,5.18,5.18,0,2.83,2.35,9,1,1,1,1,1,10:00,10:55,"one fish in box, MOR on panels, put tarps back up on panels",0,,,,,
4/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:00,10:30,saw 2 adults 150 m upstream,0,,,,,
4/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:00,10:05,,0,,,,,
4/14/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7.18,7.18,0,0,7.18,9.5,1,1,1,1,1,9:30,10:45,"2 sthd (female/male) sent US. As well as,1 sthd slipped out of hand while taking it out of trap.",0,,,,,
4/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:00,,0,,,,,
4/16/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.32,1.32,0,0,1.32,9,1,1,1,1,1,10:00,10:30,,0,,,,,
4/17/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.31,1.31,0,0,1.31,9,1,1,1,1,1,9:50,10:20,,0,,,,,
4/18/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,4.9,4.9,0,0,4.9,9,1,1,1,1,1,9:45,9:55,2 FE SH.,0,,,,,
4/19/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.68,1.68,0,0,1.68,9,1,1,1,1,1,9:30,9:50,,0,,,,,
4/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:00,10:15,no fish,0,,,,,
4/21/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2.14,2.14,0,0,2.14,9,1,1,1,1,1,9:45,10:25,,0,,,,,
4/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,11:00,no fish.took down parts of smolt trap.,0,,,,,
4/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:40,9:50,No fish in trap. Spooked two large female kelts from side of trap box.,0,,,,,
4/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:00,10:35,saw 12 fish swimming next ti cone of trap 2. most had floy tags. At least 4 females.,0,,,,,
4/25/20,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,5.23,5.23,0,0,5.23,9,1,1,1,1,1,9:30,10:00,"2 SH (2 recap MA, 1 FE).",0,,,,,
4/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:20,9:25,,0,,,,,
4/27/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,4.51,4.51,0,0,4.51,9,1,1,1,1,1,9:45,10:30,,0,,,,,
4/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:00,10:20,,0,,,,,
4/29/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2.8,2.8,0,0,2.8,9,1,1,1,1,1,9:30,10:00,,0,,,,,
4/30/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2.08,2.08,0,0,2.08,10,1,1,1,1,1,10:50,11:15,,0,,,,,
5/1/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,4.1,4.1,0,0,4.1,9,1,1,1,1,1,10:00,10:35,Caught two kelts on/near the pannels. One male and one female. Worked up and released downstream.,0,,,,,
5/2/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1.66,1.66,0,1.66,0,9,1,1,1,1,1,9:50,10:30,Spotted about 20 fish in pool above farm antenna.,0,,,,,
5/3/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.8,1.8,0,0,1.8,9,1,1,1,1,1,9:45,10:30,,0,,,,,
5/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:00,10:20,,0,,,,,
5/5/20,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3.11,3.11,0,0,3.11,9,1,1,1,1,1,9:45,10:20,,0,,,,,
5/6/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.6,1.6,0,0,1.6,9,1,1,1,1,1,9:50,10:20,One FE SH Recap.,0,,,,,
5/7/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2.53,2.53,0,0,2.53,9,1,1,1,1,1,10:00,10:27,"1 std female caught between traps, sent DS",0,,,,,
5/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:50,10:10,,0,,,,,
5/9/20,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,13,26.51,26.51,0,0,26.51,10,1,1,1,1,1,10:00,12:25,"3 fish in trap sent upstream, 9 kelts caught between weir and trap 2 sent downstream.",0,,,,,
5/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:00,,0,,,,,
5/11/20,1,1,0,0,1,1.46,1.46,0,0,1.46,13,26,26,0,0,26,54.48,54.48,0,0,54.48,13.5,1,1,1,1,1,,,,0,,,,,
5/12/20,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,7.94,7.94,0,0,7.94,11,1,1,1,1,1,,,,0,,,,,
5/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:00,,0,,,,,
5/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:50,10:20,,0,,,,,
5/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:00,,0,,,,,
5/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:10,,0,,,,,
5/17/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,0,2,9,1,1,1,1,1,9:45,10:30,,0,,,,,
5/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:00,,0,,,,,
5/19/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.68,1.68,0,0,1.68,9,1,1,1,1,1,9:45,10:30,,0,,,,,
5/20/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3.3,3.3,0,0,3.3,9,1,1,1,1,1,10:00,10:15,,0,,,,,
5/21/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.63,1.63,0,0,1.63,9,1,1,1,1,1,10:00,10:30,One male SH already FLOY tagged swam back into the trap. Moved DS again.,0,,,,,
5/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:30,,0,,,,,
5/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:48,"no fish in traps, no fish seen between traps.",0,,,,,
5/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:20,9:35,No fish in trap. No fish between pannels and trap 2.,0,,,,,
5/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:15,Saw about 12 fish in pool directly downstream of Trap 1.,0,,,,,
5/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:50,10:00,,0,,,,,
5/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:05,10:25,no fish.,0,,,,,
5/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:40,10:10,,0,,,,,
5/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:00,10:15,,0,,,,,
5/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:20,9:30,,0,,,,,
5/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:26,9:30,No fish.,0,,,,,
6/1/20,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,13,29.43,29.43,0,0,29.43,12,1,1,1,1,1,10:00,10:05,End of season. Closed trap and removed panel.,0,,,,,
